Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB111,Male,WIN,96,11,3,1,1.5,1.5,2,0.5,0,0.5,1,7.6,80,474.1,11,41.9,215.9,2371,1576.6
ALB112,Male,WIN,96,13.5,9.5,0.5,0,0,3,0,0,0.5,0,3.4,68,226.1,4,74.6,211.9,2353,1584.8
ALB121,Male,WIN,96,26,8,2,1,3,6,2,2,2,0,14.7,226,852.4,28,62.5,218.7,2572,1566.6
ALB122,Male,WIN,96,37,8,7,2,8,6,3,2,1,0,29.1,492,1655.7,50,63.3,231.4,2733,1539.6
ALB136,Male,WIN,96,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,96,,,,,,,,,,,,,,,,,,
ALB140,Male,WIN,96,,,,,,,,,,,,,,,,,,
ALB141,Male,WIN,96,,,,,,,,,,,,,,,,,,
ALB152,Male,WIN,96,4,2,1,0,1,0,0,0,0,0,18.6,294,1247,23,47.1,274.5,3224,1507
ALB65,Female,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB66,Female,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB79,Female,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB80,Female,Vehicle,6,2,7,0,4,2,0,1,0,0,,22.4,338,1513.2,29,58.4,273,3335,1504.5
ALB106,Female,Vehicle,6,2,2,1,0,7,0,0,0,0,0,24.3,291,1467.4,32,46.1,254.2,2908,1521.6
ALB127,Female,Vehicle,6,7,2,0,1,3,0,3,1,0,0,41.9,643,2251.5,65,64.3,268.7,3132,1489.4
ALB128,Female,Vehicle,6,5,1,0,0,1,0,1,0,0,0,35.1,650,1971.9,60,60.3,389.7,6196,1375.3
ALB132,Female,Vehicle,6,5,0,2,1,0,0,5,1,0,0,21.8,402,1211.7,33,68.6,295.1,3538,1483.2
ALB133,Female,Vehicle,6,17,2,0,1,7,0,3,2,0,0,,,,,,,,
ALB 144,Female,Vehicle,6,4,2,1,0,0,0,1,0,0,0,,,,,,,,
ALB 145,Female,Vehicle,6,2,9,0,0,2,0,1,0,2,0,42.25,743,2282.5,64,65.7,267.1,3372,1490.7
ALB154,Female,Vehicle,6,3,1,0,1,3,0,1,0,0,2,33.7,552,1867.6,52,61.3,266.3,3124,1499.8
ALB157,Female,Vehicle,6,9,3,2,0,0,1,0,0,0,0,17.95,2796,916.6,22,52.7,183.9,2078,1598.2
ALB65,Female,Vehicle,10,10,3.5,1.5,0,3.5,1,0,0,0,0,5.5,92,500.3,6,37.3,177.8,2556,1616.7
ALB66,Female,Vehicle,10,2,2,1.5,0.5,0,0,0,0,0,0,9.15,125,819.5,8,51.7,233.2,1948,1557.7
ALB79,Female,Vehicle,10,7,1,5,0,0,1,0,0,0,0,24.4,423,1519.4,42,74,207,2743,1568.7
ALB80,Female,Vehicle,10,3,1,2,1,1,1,0,0,0,0,18,189,1064.4,20,27.1,220.8,2469,1561.2
ALB106,Female,Vehicle,10,12,1,3.5,0,2.5,0,0,1,0,0.5,18.1,294,979.1,28,59.1,259.8,2962,1522.2
ALB127,Female,Vehicle,10,8,0,1,0.5,0,1,0,0,0,0,2.9,34,233,3,30.2,214,2227,1580
ALB128,Female,Vehicle,10,14,0.5,0,1,2,1,0,0.5,0,0,8.5,104,473.6,11,38.5,171.9,1921,1619.7
ALB132,Female,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB133,Female,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB 144,Female,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB 145,Female,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB154,Female,Vehicle,10,6,2,10,1,0,1,0,2,0,0,21.8,280,1312.6,31,51.1,353.1,4134,1425.2
ALB157,Female,Vehicle,10,6,3,2,0,1,3,0,0,0,0,27.9,541,1703.8,45,76.6,193.8,2305,1578.1
ALB65,Female,Vehicle,24,9.5,0,1,0,0,1,0,0,0,0,30.3,353,1297.7,39,37,235.1,2664,1534.6
ALB66,Female,Vehicle,24,4,1,1,0,0,3,0,0,0,0,6.3,90,689.3,4,54.6,188.5,2121,1605.3
ALB79,Female,Vehicle,24,7,1,5,0,0,0,0,0,0,0,42.7,677,2092.1,60,50.1,232.4,3067,1525
ALB80,Female,Vehicle,24,6,1,1,0,0,4,0,0,0,0,13.9,138,701.1,16,31.8,211.4,2287,1574.8
ALB106,Female,Vehicle,24,8.5,2,5,1,0,4,0,0,1,0,26.4,416,1319.1,33,47.8,250.6,3088,1523.1
ALB127,Female,Vehicle,24,2.5,4,2,2.5,1,19.5,0,0.5,0,1,6.9,72,469.3,10,34.6,180,2011,1613.2
ALB128,Female,Vehicle,24,5,5.5,0.5,2.5,0,10,0,0,0.5,0,21.4,409,1206.3,30,63.8,220.8,2708,1557.8
ALB132,Female,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB133,Female,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB 144,Female,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB 145,Female,Vehicle,24,,,,,,,,,,,,,,,,,,
ALB154,Female,Vehicle,24,16,1,2,0,0,0,0,0,0,0,22.4,377,1375.3,39,63.2,216.8,2744,1560.9
ALB157,Female,Vehicle,24,9,2,1,0,0,6,0,0,0,0,11.8,217,843.3,20,61.8,266.3,2999,1522
ALB65,Female,Vehicle,48,2,2.5,3,0,1.5,2.5,0.5,0,0,0,21.95,285,976.8,28,36.3,225,2539,1553.1
ALB66,Female,Vehicle,48,5,2.5,1.5,0,1,1,0.5,0,0,0,3.45,58,467.5,0,0,175.3,1881,1621.3
ALB79,Female,Vehicle,48,6,0,3,0,0,0,0,0,0,0,43.1,678,2007.8,67,55,215.9,2787,1540.7
ALB80,Female,Vehicle,48,6,0,1,0,0,0,0,0,1,0,19.45,205,1033.4,24,35.2,220,2458,1560.6
ALB106,Female,Vehicle,48,13,1,11,2,2,1,0,0,0,3,12.55,186,591.6,17,44.5,205.7,2438,1581.8
ALB127,Female,Vehicle,48,30.5,0,0.5,0,0,3,0,0,0,0,2.1,28,190,1,25.2,116.7,1234,1681.2
ALB128,Female,Vehicle,48,19,7.5,0,1,2,14,0.5,1,1.5,0,17,277,887.9,23,47.9,187.8,2174,1595.3
ALB132,Female,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB133,Female,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB 144,Female,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB 145,Female,Vehicle,48,,,,,,,,,,,,,,,,,,
ALB154,Female,Vehicle,48,3,1,3,0,0,0,0,1,0,0,,,,,,,,
ALB157,Female,Vehicle,48,9,2,1,0,0,6,0,0,0,0,9,270,1023.3,29,81,194.7,2273,1590.1
ALB65,Female,Vehicle,72,10,2.5,3,0,1.5,2.5,0.5,0,0,0,21.95,285,976.8,28,36.3,225,2539,1553.1
ALB66,Female,Vehicle,72,6.5,2.5,1.5,0,1,1,0.5,0,0,0,3.45,58,467.5,0,0,175.3,1881,1621.3
ALB79,Female,Vehicle,72,3,0,3,0,0,0,0,0,0,0,43.1,678,2007.8,67,55,215.9,2787,1540.7
ALB80,Female,Vehicle,72,2,0,1,0,0,0,0,0,1,0,19.45,205,1033.4,24,35.2,220,2458,1560.6
ALB106,Female,Vehicle,72,20,1,11,2,2,1,0,0,0,3,12.55,186,591.6,17,44.5,205.7,2438,1581.8
ALB127,Female,Vehicle,72,3.5,0,0.5,0,0,3,0,0,0,0,2.1,28,190,1,25.2,116.7,1234,1681.2
ALB128,Female,Vehicle,72,27.5,7.5,0,1,2,14,0.5,1,1.5,0,17,277,887.9,23,47.9,187.8,2174,1595.3
ALB132,Female,Vehicle,72,,,,,,,,,,,,,,,,,,
ALB133,Female,Vehicle,72,,,,,,,,,,,,,,,,,,
ALB 144,Female,Vehicle,72,,,,,,,,,,,,,,,,,,
