Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB75,Female,WIN,48,4,1,1,1,0,1,0,0,0,0,3.25,60,333.1,5,73,122.7,1397,1673.9
ALB76,Female,WIN,48,9,0,3,0,4,2,0,0,0,0,25.1,449,1456.2,32,61.4,222.5,2665,1552.4
ALB107,Female,WIN,48,10,2,3,0,1,2,2,0,0,0,7.35,110,315.6,8,51.5,128.7,1388,1664
ALB108,Female,WIN,48,14,0,2,0,1,2,8,1,0,0,2.4,47,242.8,5,97.9,117.8,1438,1679.8
ALB125,Female,WIN,48,9,0.5,0.5,2,2.5,0,0.5,2,1,0,16.3,249,875.1,25,47.1,157,1853,1626.8
ALB126,Female,WIN,48,5.5,0.5,1.5,0,1.5,0.5,1,0,0,0.5,3.9,97,357.5,9,107,186,2070,1610.2
ALB130,Female,WIN,48,,,,,,,,,,,,,,,,,,
ALB131,Female,WIN,48,10.3125,1.375,3,1.25,1.25,1.4375,1.4375,0.375,0.125,0.0625,,,,,,,,
ALB 142,Female,WIN,48,,,,,,,,,,,,,,,,,,
ALB 143,Female,WIN,48,,,,,,,,,,,,,,,,,,
ALB67,Female,WIN,72,6,0,4,0,0,2,0,0,0,0,6,15,215,1057.3,19,62.4,215.8,2550
ALB68,Female,WIN,72,26.5,11.5,2,0,0,13,0,0,0,0,26.5,3.7,63,383.4,2,26.2,160.4,1701
ALB75,Female,WIN,72,10,4,2,0,1,1,2,0,0,0,10,9.45,189,590.3,16,75.7,210.5,2379
ALB76,Female,WIN,72,10,0,2,0,0,1,7,0,0,0,10,21.85,397,1159.2,38,71.7,211.8,2405
ALB107,Female,WIN,72,14,0,1.5,1,1,9,1,0,0,0.5,14,5.2,67,361.8,6,51.2,140,1558
ALB108,Female,WIN,72,42,1,1.5,0,0,37,2,0,0,0.5,42,6,133,437.4,16,96.7,185,2146
ALB125,Female,WIN,72,10.5,0,1,1.5,2,2.5,0,1,0.5,2,10.5,18.3,304,1157,28,56.6,209.4,2389
ALB126,Female,WIN,72,6,0.5,1,1,0.5,1.5,0,0.5,0.5,0.5,6,2.25,36,239,4,115,220.9,2346
ALB130,Female,WIN,72,,,,,,,,,,,,,,,,,,
ALB131,Female,WIN,72,15.625,2.125,1.875,0.4375,0.5625,8.375,1.5,0.1875,0.125,0.4375,15.625,,,,,,,
ALB 142,Female,WIN,72,,,,,,,,,,,,,,,,,,
ALB 143,Female,WIN,72,,,,,,,,,,,,,,,,,,
ALB67,Female,WIN,96,9,2,3,3,0,1,0,0,0,0,14.3,215,1143.7,21,75.02,282.1,3207,1503.6
ALB68,Female,WIN,96,16,7,2,0,0,7,0,0,0,0,4.8,60,541.2,1,25.4,168.8,1802,1626.5
ALB75,Female,WIN,96,9,1,1,0,0,3,2,0,2,0,13.95,255,800.3,27,80.4,192,2225,1594.1
ALB76,Female,WIN,96,10,0,3,1,1,3,1,0,1,0,19.5,289,1025.6,29,63.8,223,2604,1557.6
ALB107,Female,WIN,96,11,0,2,0,0,0,8,1,0,0,5,48,326.6,5,48.7,126.9,1365,1668.2
ALB108,Female,WIN,96,42,1,2,2,0,32,3,2,0,0,21.95,404,1033.4,24,50.1,186.6,2174,1591.5
ALB125,Female,WIN,96,5,0,0,0,1,2,0,0,0,2,17.2,230,981,25,53.8,172.7,1982,1610.2
ALB126,Female,WIN,96,8,1,0,0,1,4,0,0,1,1,15.9,277,1055.1,24,68.8,251.3,2907,1532.8
ALB130,Female,WIN,96,,,,,,,,,,,,,,,,,,
ALB131,Female,WIN,96,13.75,1.5,1.625,0.75,0.375,6.5,1.75,0.375,0.5,0.375,,,,,,,,
ALB 142,Female,WIN,96,,,,,,,,,,,,,,,,,,
ALB 143,Female,WIN,96,,,,,,,,,,,,,,,,,,
